iter,pi,tol
2,2.4494898319244384766,-1
3,2.7386128902435302734,-1
4,2.8577380180358886719,-1
5,2.9226131439208984375,-1
6,2.9633877277374267578,-1
7,2.9913766384124755859,-1
8,3.0117740631103515625,-1
9,3.0272979736328125,-1
10,3.0395076274871826172,-1
11,3.0493617057800292969,-1
12,3.0574815273284912109,-1
13,3.0642876625061035156,-1
14,3.0700752735137939453,-1
15,3.0750567913055419922,-1
16,3.0793898105621337891,-1
17,3.0831928253173828125,-1
18,3.0865581035614013672,-1
19,3.0895564556121826172,-1
20,3.0922451019287109375,-1
21,3.0946695804595947266,-1
22,3.0968670845031738281,-1
23,3.0988678932189941406,-1
24,3.1006972789764404297,-1
25,3.1023766994476318359,-1
26,3.1039235591888427734,-1
27,3.1053528785705566406,-1
28,3.1066777706146240234,-1
29,3.1079094409942626953,-1
30,3.1090569496154785156,-1
31,3.1101288795471191406,-1
32,3.1111326217651367188,-1
33,3.1120741367340087891,-1
34,3.1129591464996337891,-1
35,3.1137926578521728516,-1
36,3.1145792007446289062,-1
37,3.1153223514556884766,-1
38,3.1160256862640380859,-1
39,3.1166923046112060547,-1
40,3.1173250675201416016,-1
41,3.1179265975952148438,-1
42,3.1184988021850585938,-1
43,3.1190440654754638672,-1
44,3.1195642948150634766,-1
45,3.1200609207153320312,-1
46,3.1205358505249023438,-1
47,3.1209900379180908203,-1
48,3.1214251518249511719,-1
49,3.1218423843383789062,-1
50,3.1222424507141113281,-1
51,3.1226265430450439453,-1
