iter,pi,tol
2,4,-1
3,2.6666667461395263672,-1
4,3.4666666984558105469,-1
5,2.8952381610870361328,-1
6,3.3396825790405273438,-1
7,2.9760463237762451172,-1
8,3.2837386131286621094,-1
9,3.0170719623565673828,-1
10,3.2523660659790039062,-1
11,3.0418398380279541016,-1
12,3.2323160171508789062,-1
13,3.05840301513671875,-1
14,3.2184031009674072266,-1
15,3.0702550411224365234,-1
16,3.2081861495971679688,-1
17,3.0791537761688232422,-1
18,3.2003657817840576172,-1
19,3.0860800743103027344,-1
20,3.1941881179809570312,-1
21,3.0916240215301513672,-1
22,3.1891849040985107422,-1
23,3.0961616039276123047,-1
24,3.1850504875183105469,-1
25,3.0999441146850585938,-1
26,3.1815767288208007812,-1
27,3.1031453609466552734,-1
28,3.1786170005798339844,-1
29,3.1058897972106933594,-1
30,3.1760652065277099609,-1
31,3.1082684993743896484,-1
32,3.1738421916961669922,-1
33,3.1103501319885253906,-1
34,3.1718885898590087891,-1
35,3.1121871471405029297,-1
36,3.1701581478118896484,-1
37,3.1138200759887695312,-1
38,3.1686146259307861328,-1
39,3.1152813434600830078,-1
40,3.1672294139862060547,-1
41,3.1165964603424072266,-1
42,3.1659791469573974609,-1
43,3.117786407470703125,-1
44,3.1648452281951904297,-1
45,3.1188681125640869141,-1
46,3.1638119220733642578,-1
47,3.1198558807373046875,-1
48,3.1628665924072265625,-1
49,3.1207613945007324219,-1
50,3.1619985103607177734,-1
51,3.1215944290161132812,-1
